CLIMA_ID,CLIMA_DATA,CLIMA_CHUVA_MM
1,2019-01-01,9
2,2019-01-02,18
3,2019-01-03,3
4,2019-01-04,7
5,2019-01-05,15
6,2019-01-06,0
7,2019-01-07,0
8,2019-01-08,9
9,2019-01-09,0
10,2019-01-10,10
11,2019-01-11,0
12,2019-01-12,0
13,2019-01-13,8
14,2019-01-14,20
15,2019-01-15,0
16,2019-01-16,1
17,2019-01-17,0
18,2019-01-18,25
19,2019-01-19,10
20,2019-01-20,29
21,2019-01-21,30
22,2019-01-22,13
23,2019-01-23,11
24,2019-01-24,8
25,2019-01-25,0
26,2019-01-26,11
27,2019-01-27,3
28,2019-01-28,0
29,2019-01-29,6
30,2019-01-30,0
31,2019-01-31,24
32,2019-02-01,0
33,2019-02-02,28
34,2019-02-03,29
35,2019-02-04,10
36,2019-02-05,0
37,2019-02-06,1
38,2019-02-07,13
39,2019-02-08,0
40,2019-02-09,0
41,2019-02-10,0
42,2019-02-11,0
43,2019-02-12,16
44,2019-02-13,0
45,2019-02-14,0
46,2019-02-15,0
47,2019-02-16,0
48,2019-02-17,0
49,2019-02-18,4
50,2019-02-19,0
51,2019-02-20,0
52,2019-02-21,0
53,2019-02-22,6
54,2019-02-23,0
55,2019-02-24,28
56,2019-02-25,24
57,2019-02-26,0
58,2019-02-27,0
59,2019-02-28,0
60,2019-03-01,0
61,2019-03-02,0
62,2019-03-03,16
63,2019-03-04,14
64,2019-03-05,0
65,2019-03-06,4
66,2019-03-07,6
67,2019-03-08,0
68,2019-03-09,30
69,2019-03-10,0
70,2019-03-11,14
71,2019-03-12,11
72,2019-03-13,0
73,2019-03-14,28
74,2019-03-15,27
75,2019-03-16,0
76,2019-03-17,8
77,2019-03-18,5
78,2019-03-19,0
79,2019-03-20,7
80,2019-03-21,0
81,2019-03-22,0
82,2019-03-23,10
83,2019-03-24,0
84,2019-03-25,15
85,2019-03-26,1
86,2019-03-27,18
87,2019-03-28,25
88,2019-03-29,27
89,2019-03-30,0
90,2019-03-31,0
91,2019-04-01,5
92,2019-04-02,0
93,2019-04-03,11
94,2019-04-04,0
95,2019-04-05,23
96,2019-04-06,0
97,2019-04-07,0
98,2019-04-08,23
99,2019-04-09,13
100,2019-04-10,27
101,2019-04-11,0
102,2019-04-12,0
103,2019-04-13,0
104,2019-04-14,0
105,2019-04-15,28
106,2019-04-16,0
107,2019-04-17,0
108,2019-04-18,29
109,2019-04-19,0
110,2019-04-20,0
111,2019-04-21,24
112,2019-04-22,0
113,2019-04-23,0
114,2019-04-24,0
115,2019-04-25,0
116,2019-04-26,0
117,2019-04-27,16
118,2019-04-28,0
119,2019-04-29,0
120,2019-04-30,0
121,2019-05-01,0
122,2019-05-02,0
123,2019-05-03,0
124,2019-05-04,0
125,2019-05-05,14
126,2019-05-06,18
127,2019-05-07,0
128,2019-05-08,0
129,2019-05-09,0
130,2019-05-10,18
131,2019-05-11,0
132,2019-05-12,16
133,2019-05-13,0
134,2019-05-14,9
135,2019-05-15,10
136,2019-05-16,18
137,2019-05-17,9
138,2019-05-18,27
139,2019-05-19,0
140,2019-05-20,0
141,2019-05-21,0
142,2019-05-22,0
143,2019-05-23,12
144,2019-05-24,14
145,2019-05-25,14
146,2019-05-26,0
147,2019-05-27,0
148,2019-05-28,28
149,2019-05-29,2
150,2019-05-30,0
151,2019-05-31,0
152,2019-06-01,0
153,2019-06-02,0
154,2019-06-03,0
155,2019-06-04,0
156,2019-06-05,22
157,2019-06-06,0
158,2019-06-07,27
159,2019-06-08,0
160,2019-06-09,0
161,2019-06-10,0
162,2019-06-11,21
163,2019-06-12,0
164,2019-06-13,0
165,2019-06-14,22
166,2019-06-15,0
167,2019-06-16,15
168,2019-06-17,8
169,2019-06-18,20
170,2019-06-19,17
171,2019-06-20,3
172,2019-06-21,0
173,2019-06-22,2
174,2019-06-23,0
175,2019-06-24,0
176,2019-06-25,18
177,2019-06-26,23
178,2019-06-27,19
179,2019-06-28,30
180,2019-06-29,0
181,2019-06-30,0
182,2019-07-01,0
183,2019-07-02,0
184,2019-07-03,0
185,2019-07-04,0
186,2019-07-05,0
187,2019-07-06,0
188,2019-07-07,24
189,2019-07-08,0
190,2019-07-09,0
191,2019-07-10,0
192,2019-07-11,0
193,2019-07-12,0
194,2019-07-13,0
195,2019-07-14,6
196,2019-07-15,0
197,2019-07-16,1
198,2019-07-17,28
199,2019-07-18,0
200,2019-07-19,0
201,2019-07-20,13
202,2019-07-21,0
203,2019-07-22,0
204,2019-07-23,0
205,2019-07-24,0
206,2019-07-25,0
207,2019-07-26,13
